time_s,u_i_V,u_after_R_V
0.0,0.0,0.0
3.125000000000001e-08,0.002776800051376153,0.002772573567249223
3.387767445008923e-08,0.00301028856194815,0.003005676812444737
3.913302335026768e-08,0.003477265330559225,0.003471823299999662
4.964372115062458e-08,0.004411217679442176,0.004403756677137181
7.06651167513384e-08,0.006279116198193599,0.006266184535983294
1.12707907952766e-07,0.01001487711443135,0.00998528064833958
1.967934903556212e-07,0.01748616322152069,0.01740040233819068
3.649646551613317e-07,0.03242706264765667,0.03213810788691335
7.013069847727525e-07,0.06229633230714803,0.06124134189541077
1.373991643995594e-06,0.1219380825033732,0.1179432211944246
2.719360962441278e-06,0.2404620433346486,0.2252070869939862
5.410099599332644e-06,0.4715240836710108,0.4142997206025353
8.535099599332644e-06,0.722576061890096,0.5888891337048099
1.166009959933264e-05,0.9458598472760691,0.7129475612428009
1.478509959933264e-05,1.132794769175536,0.7856593921794088
1.791009959933264e-05,1.276197023374213,0.807622479341211
2.103509959933264e-05,1.370555741664155,0.7809044499704939
2.416009959933265e-05,1.412244771418458,0.7090313034015028
2.728509959933265e-05,1.399662026603142,0.5969103247355136
3.041009959933265e-05,1.333291055044975,0.4506916422784976
3.353509959933265e-05,1.215682455959667,0.2775749209944155
3.666009959933265e-05,1.051355861854405,0.08556962661607626
3.978509959933265e-05,0.8466262515852382,-0.1167810631809779
4.291009959933265e-05,0.6093612692611224,-0.3207013494204254
4.603509959933266e-05,0.3486788750930385,-0.5174966973394051
4.916009959933266e-05,0.0745969472964956,-0.6988679082449042
5.228509959933266e-05,-0.2023516993502028,-0.857212839370401
5.541009959933266e-05,-0.4715240836710121,-0.9859037744645679
5.853509959933266e-05,-0.7225760618900977,-1.079529440561717
6.166009959933266e-05,-0.94585984727607,-1.134092073928052
6.478509959933266e-05,-1.132794769175537,-1.14715170760107
6.791009959933265e-05,-1.276197023374213,-1.117911917224917
7.103509959933265e-05,-1.370555741664155,-1.047243542545342
7.416009959933264e-05,-1.412244771418458,-0.937645312042622
7.728509959933264e-05,-1.399662026603142,-0.7931427457507436
8.041009959933263e-05,-1.333291055044975,-0.6191291028102686
8.353509959933263e-05,-1.215682455959668,-0.4221543842839706
8.666009959933262e-05,-1.051355861854407,-0.209670412386075
8.978509959933261e-05,-0.8466262515852404,0.01025829239238518
9.291009959933261e-05,-0.609361269261126,0.2292667897915345
9.60350995993326e-05,-0.3486788750930435,0.4390132084793455
9.91600995993326e-05,-0.07459694729650143,0.6315010608663248
0.0001022850995993326,0.2023516993501952,0.7993880383626258
0.0001054100995993326,0.4715240836710055,0.9362694551858564
0.0001085350995993326,0.7225760618900915,1.036925478121279
0.0001116600995993326,0.9458598472760653,1.097522667074017
0.0001147850995993326,1.132794769175532,1.115762103417525
0.0001179100995993326,1.27619702337421,1.090968432614068
0.0001210350995993326,1.370555741664153,1.02411641552806
0.0001241600995993326,1.412244771418457,0.9177939820532517
0.0001272850995993326,1.399662026603143,0.7761032188759878
0.0001304100995993326,1.333291055044977,0.6045031066542927
0.0001335350995993326,1.21568245595967,0.4096000589715966
0.0001366600995993326,1.05135586185441,0.1988943201207621
0.0001397850995993326,0.8466262515852426,-0.01950802597990797
0.0001429100995993326,0.6093612692611261,-0.2372063628142675
0.0001460350995993326,0.3486788750930437,-0.4458281960881049
0.0001491600995993326,0.07459694729649909,-0.6373507527798046
0.0001522850995993326,-0.2023516993502,-0.8044091620164167
0.0001554100995993326,-0.4715240836710088,-0.940579371523252
0.0001585350995993326,-0.7225760618900956,-1.040624924722506
0.0001616600995993327,-0.9458598472760699,-1.100698112740232
0.0001647850995993327,-1.132794769175536,-1.118487769244338
0.0001679100995993327,-1.276197023374213,-1.093308026794026
0.0001710350995993327,-1.370555741664155,-1.026124622430406
0.0001741600995993327,-1.412244771418458,-0.9195177403858619
0.0001772850995993327,-1.399662026603141,-0.7775828188045452
0.0001804100995993327,-1.333291055044974,-0.605773131522149
0.0001835350995993327,-1.215682455959664,-0.41069019363154
0.0001866600995993327,-1.051355861854401,-0.1998300447722142
0.0001897850995993327,-0.8466262515852346,0.01870484023092611
0.0001929100995993327,-0.609361269261115,0.236516942752112
0.0001960350995993327,-0.3486788750930317,0.4452364275928268
0.0001991600995993328,-0.07459694729648672,0.6368428041847073
0.0002022850995993328,0.2023516993502098,0.8039731608143892
0.0002054100995993328,0.4715240836710228,0.9402051268654243
0.0002085350995993328,0.7225760618901063,1.040303689223007
0.0002116600995993328,0.9458598472760772,1.100422378019696
0.0002147850995993328,1.132794769175544,1.118251090433225
0.0002179100995993328,1.276197023374218,1.093104871893833
0.0002210350995993328,1.370555741664158,1.025950243011825
0.0002241600995993328,1.412244771418458,0.9193680606016381
0.0002272850995993328,1.399662026603139,0.7774543401229009
0.0002304100995993328,1.333291055044969,0.6056628509540491
0.0002335350995993328,1.215682455959658,0.4105955335405072
0.0002366600995993329,1.051355861854395,0.1997487926260859
0.0002397850995993329,0.8466262515852226,-0.01877458357449191
0.0002429100995993329,0.609361269261106,-0.2365768074351137
0.0002460350995993329,0.3486788750930197,-0.4452878128589757
0.0002491600995993329,0.07459694729647687,-0.6368869110845443
0.0002522850995993328,-0.2023516993502171,-0.8040110202779867
0.0002554100995993328,-0.4715240836710275,-0.940237623798765
0.0002585350995993328,-0.7225760618901061,-1.040331583191281
0.0002616600995993328,-0.9458598472760771,-1.100446321000962
0.0002647850995993328,-1.132794769175542,-1.11827164205737
0.0002679100995993327,-1.276197023374217,-1.093122512523057
0.0002710350995993327,-1.370555741664156,-1.025965384968354
0.0002741600995993327,-1.412244771418458,-0.9193810578051189
0.0002772850995993327,-1.399662026603141,-0.7774654963627173
0.0002804100995993327,-1.333291055044975,-0.6056724269899292
0.0002835350995993326,-1.215682455959668,-0.410603753197371
0.0002866600995993326,-1.051355861854407,-0.1997558480256062
0.0002897850995993326,-0.8466262515852411,0.01876852752333935
0.0002929100995993326,-0.6093612692611267,0.2365716091815726
0.0002960350995993326,-0.3486788750930491,0.4452833509019623
