time_s,u_i_V,u_after_R_V
0.0,0.0,0.0
3.125000000000001e-08,0.002776800051376153,0.002757649706163819
3.388715961749719e-08,0.003011131389806843,0.00299022866452944
3.916147885249157e-08,0.003479793812216305,0.003455113887578324
4.971011732248033e-08,0.004417117459083226,0.004383250415409568
7.080739426245785e-08,0.006291758519856922,0.00623300546611846
1.130019481424129e-07,0.01004100418040183,0.0099065841506575
1.97391055902323e-07,0.01753925742554073,0.01715112892191391
3.661692714221431e-07,0.03253407379322554,0.03123848826298067
7.037257024617835e-07,0.06251104455798086,0.05787321154402573
1.378838564541064e-06,0.1223671589108759,0.1054760805513751
2.729064288699625e-06,0.2413116582879244,0.1813843245681445
5.265264351364615e-06,0.459371422058053,0.2717506494920334
8.390264351364615e-06,0.7114832598148929,0.3188075550987669
1.151526435136461e-05,0.9362531949014552,0.3213133032564177
1.464026435136461e-05,1.125043444764795,0.2958208581776547
1.776526435136461e-05,1.270598905977457,0.2513770468216177
2.089026435136462e-05,1.367325963793481,0.193598653231092
2.401526435136462e-05,1.411507451626156,0.1266000394419331
2.714026435136462e-05,1.401445499675336,0.05387362178732036
3.026526435136462e-05,1.337526783111684,-0.02134110689194557
3.339026435136462e-05,1.222207662366711,-0.09593823420102932
3.651526435136462e-05,1.05991978657894,-0.1669466398361978
3.964026435136462e-05,0.8568997878028032,-0.2315869276714582
4.276526435136463e-05,0.620949610736343,-0.2873504984463821
4.589026435136463e-05,0.3611366883618383,-0.3320825137928713
4.901526435136463e-05,0.08744548558137605,-0.3640581932828108
5.214026435136463e-05,-0.1896061981699845,-0.3820459413853163
5.526526435136463e-05,-0.4593714220580541,-0.3853531480932808
5.839026435136463e-05,-0.7114832598148936,-0.3738520647307818
6.151526435136463e-05,-0.9362531949014561,-0.3479843543154634
6.464026435136463e-05,-1.125043444764796,-0.308743944773388
6.776526435136462e-05,-1.270598905977457,-0.2576387485742451
7.089026435136462e-05,-1.367325963793481,-0.1966326736679589
7.401526435136461e-05,-1.411507451626156,-0.1280701318185717
7.714026435136461e-05,-1.401445499675336,-0.05458593458837813
8.02652643513646e-05,-1.337526783111685,0.02099596563782224
8.33902643513646e-05,-1.222207662366713,0.09577100080985468
8.651526435136459e-05,-1.059919786578941,0.1668656092239778
8.964026435136459e-05,-0.8568997878028064,0.2315476654160511
9.276526435136458e-05,-0.620949610736346,0.2873314744669586
9.589026435136457e-05,-0.3611366883618427,0.3320732959884082
9.901526435136457e-05,-0.08744548558138061,0.3640537269239477
0.0001021402643513646,0.1896061981699781,0.3820437772732887
0.0001052652643513646,0.459371422058048,0.385352099502917
0.0001083902643513646,0.7114832598148886,0.3738515566509157
0.0001115152643513645,0.9362531949014499,0.3479841081324345
0.0001146402643513645,1.125043444764791,0.3087438254888286
0.0001177652643513645,1.270598905977455,0.2576386907765731
0.0001208902643513645,1.367325963793479,0.1966326456629028
0.0001240152643513645,1.411507451626155,0.1280701182491133
0.0001271402643513645,1.401445499675337,0.05458592801348638
0.0001302652643513645,1.337526783111686,-0.02099596882359323
0.0001333902643513646,1.222207662366715,-0.09577100235347502
0.0001365152643513646,1.059919786578944,-0.1668656099719179
0.0001396402643513646,0.8568997878028075,-0.2315476657784559
0.0001427652643513646,0.6209496107363462,-0.2873314746425573
0.0001458902643513646,0.3611366883618428,-0.3320732960734915
0.0001490152643513646,0.08744548558137953,-0.3640537269651742
0.0001521402643513646,-0.1896061981699829,-0.3820437772932672
0.0001552652643513646,-0.4593714220580515,-0.3853520995125964
0.0001583902643513646,-0.7114832598148928,-0.373851556655606
0.0001615152643513646,-0.9362531949014563,-0.3479841081347086
0.0001646402643513646,-1.125043444764796,-0.3087438254899292
