time_s,u_input_V,u_open_secondary_V,L_model_H
0.0,0.0,0.0,0.1
1.041666666666667e-06,0.002776800051376153,0.001109564214768081,0.1
1.129227655413393e-06,0.003010213496262165,0.001202824272229119,0.1
1.304349632906844e-06,0.003477040133671802,0.001389327955759272,0.1
1.654593587893748e-06,0.004410692221005822,0.001762236882383,0.1
2.355081497867556e-06,0.006277990221449746,0.002507660576700676,0.1
3.756057317815171e-06,0.01001255013123059,0.003996928154674732,0.1
6.5580089577104e-06,0.01748143443400944,0.006969118708945601,0.1
1.216191223750086e-05,0.03241753178964981,0.01288791919061074,0.1
2.336971879708178e-05,0.06227720908869602,0.02462159044480525,0.1
4.578533191624362e-05,0.1218998666597957,0.04766052945306553,0.1
9.061655815456728e-05,0.2403863688229012,0.09192620800973784,0.1
0.0001802790106312146,0.471379213625969,0.1724701337097917,0.1
0.0002844456772978813,0.7224439689951077,0.2508482056729813,0.1
0.000388612343964548,0.94574560778701,0.3109105905474042,0.1
0.0004927790106312147,1.132702773251905,0.3512081078549682,0.1
0.0005969456772978814,1.276130806367762,0.3709660820434159,0.1
0.0007011123439645481,1.370517848257307,0.370122533412774,0.1
0.0008052790106312148,1.412236657833589,0.349338146818823,0.1
0.0009094456772978815,1.399684004640767,0.3099777176091973,0.1
0.001013612343964548,1.333342280101434,0.2540638621873674,0.1
0.001117779010631215,1.215760959484768,0.1842048390922119,0.1
0.001221945677297882,1.051458627001703,0.1034993147632197,0.1
0.001326112343964548,0.8467493291477546,0.01542178818778121,0.1
0.001430279010631215,0.6094999294371518,-0.07630687349193677,0.1
0.001534445677297882,0.3488277892497783,-0.1678587690086948,0.1
0.001638612343964548,0.0747503927464131,-0.2554427723219787,0.1
0.001742779010631215,-0.2021996194296935,-0.3354472549304736,0.1
0.001846945677297882,-0.47137921362597,-0.4045762041097599,0.1
0.001951112343964548,-0.7224439689951082,-0.4599734770259533,0.1
0.002055279010631215,-0.9457456077870097,-0.4993303894914984,0.1
0.002159445677297881,-1.132702773251905,-0.520972481163064,0.1
0.002263612343964548,-1.276130806367762,-0.5239221015605114,0.1
0.002367779010631214,-1.370517848257307,-0.5079343925832851,0.1
0.002471945677297881,-1.412236657833589,-0.4735052674591325,0.1
0.002576112343964547,-1.399684004640768,-0.4218510639300125,0.1
0.002680279010631214,-1.333342280101435,-0.3548606395667753,0.1
0.00278444567729788,-1.21576095948477,-0.2750217375242396,0.1
0.002888612343964547,-1.051458627001706,-0.1853244410742824,0.1
0.002992779010631213,-0.8467493291477577,-0.08914541684514521,0.1
0.003096945677297879,-0.6094999294371565,0.00988261400773022,0.1
0.003201112343964546,-0.3488277892497839,0.1080111688786699,0.1
0.003305279010631212,-0.07475039274642016,0.2015206771546318,0.1
0.003409445677297879,0.2021996194296865,0.2868639810662731,0.1
0.003513612343964545,0.4713792136259609,0.3608031553800591,0.1
0.003617779010631212,0.7224439689951005,0.4205343935165722,0.1
0.003721945677297878,0.945745607787004,0.4637961657350602,0.1
0.003826112343964545,1.1327027732519,0.488956497382157,0.1
0.003930279010631211,1.276130806367758,0.4950760171634687,0.1
0.004034445677297878,1.370517848257305,0.4819443561460654,0.1
0.004138612343964544,1.412236657833588,0.4500885019559738,0.1
0.004242779010631211,1.399684004640769,0.4007527900606078,0.1
0.004346945677297877,1.333342280101438,0.335851303703982,0.1
0.004451112343964544,1.215760959484774,0.2578945141229333,0.1
0.00455527901063121,1.051458627001712,0.1698929823659595,0.1
0.004659445677297877,0.8467493291477638,0.07524182533552533,0.1
0.004763612343964543,0.6094999294371657,-0.02240961229875305,0.1
0.004867779010631209,0.3488277892497914,-0.1192978703093088,0.1
0.004971945677297876,0.07475039274642786,-0.211689883394265,0.1
0.005076112343964542,-0.2021996194296777,-0.29602633520306,0.1
0.005180279010631209,-0.4713792136259536,-0.3690583457410516,0.1
