time_s,u_i_V,u_L_V
0.0,0.0,0.0
3.125000000000001e-08,0.002776800051376153,0.002692654595247734
3.392969467508923e-08,0.003014910946860815,0.002922932922940847
3.928908402526768e-08,0.003491132474675278,0.003382258462968476
5.000786272562458e-08,0.00444357428868237,0.004293562563503306
7.144542012633838e-08,0.006348451438192847,0.006087170927953538
1.14320534927766e-07,0.01015816772712727,0.009561419657928106
2.000707645306212e-07,0.01777735149753557,0.01608117426981293
3.715712237363315e-07,0.03301394971126939,0.02757430510372797
7.145721421477523e-07,0.06347387720969476,0.04550166941509171
1.356109831426995e-06,0.1203549873225427,0.06646678709644321
2.316713718036049e-06,0.2051315500989024,0.08060465191221154
3.868447110731948e-06,0.3403664905354407,0.08632468173120811
6.357107439305029e-06,0.5499766321116891,0.08399763141214617
9.48210743930503e-06,0.7935904658742233,0.07663030871932697
1.260710743930503e-05,1.006707063083872,0.06634616528980686
1.573210743930503e-05,1.181136472427032,0.05350622102156954
1.885710743930503e-05,1.310175469523787,0.03861141376478816
2.198210743930503e-05,1.38886515808161,0.02223249495230939
2.510710743930503e-05,1.414181537498912,0.004999258929482497
2.823210743930504e-05,1.385151713512273,-0.01242611010119021
3.135710743930504e-05,1.302891285977388,-0.02937394755231093
3.448210743930504e-05,1.170561476992243,-0.04519296136070738
3.760710743930504e-05,0.9932476469047244,-0.05927523485735808
4.073210743930504e-05,0.7777638667663553,-0.07107959435355604
4.385710743930504e-05,0.5323910574031566,-0.08015240489335929
4.698210743930504e-05,0.2665587582723,-0.08614500346469567
5.010710743930504e-05,-0.009517244451087994,-0.08882709786320785
5.323210743930505e-05,-0.2852275048075522,-0.08809561670572377
5.635710743930505e-05,-0.5499766321116902,-0.08397867040281343
5.948210743930505e-05,-0.7935904658742252,-0.07663447089210762
6.260710743930504e-05,-1.006707063083873,-0.0663452516421229
6.573210743930504e-05,-1.181136472427033,-0.05350642157837826
6.885710743930503e-05,-1.310175469523787,-0.03861136974012291
7.198210743930503e-05,-1.388865158081611,-0.02223250461626081
7.510710743930502e-05,-1.414181537498912,-0.004999256808127184
7.823210743930502e-05,-1.385151713512273,0.01242610963552648
8.135710743930501e-05,-1.302891285977389,0.02937394765452961
8.4482107439305e-05,-1.170561476992244,0.04519296133826911
8.7607107439305e-05,-0.9932476469047272,0.05927523486228314
9.0732107439305e-05,-0.7777638667663586,0.0710795943524748
9.385710743930499e-05,-0.5323910574031614,0.08015240489359576
9.698210743930498e-05,-0.2665587582723044,0.08614500346464377
0.000100107107439305,0.00951724445108217,0.0888270978632187
0.000103232107439305,0.2852275048075459,0.08809561670572119
0.000106357107439305,0.5499766321116843,0.08397867040281415
0.000109482107439305,0.7935904658742172,0.0766344708921064
0.000112607107439305,1.006707063083867,0.06634525164212379
0.000115732107439305,1.181136472427029,0.05350642157837848
0.0001188571074393049,1.310175469523784,0.03861136974012336
0.0001219821074393049,1.388865158081609,0.02223250461626058
0.0001251071074393049,1.414181537498912,0.00499925680812785
0.0001282321074393049,1.385151713512275,-0.01242610963552626
0.000131357107439305,1.30289128597739,-0.02937394765452983
0.000134482107439305,1.170561476992247,-0.04519296133826867
0.000137607107439305,0.9932476469047291,-0.05927523486228348
0.000140732107439305,0.7777638667663599,-0.0710795943524749
0.000143857107439305,0.5323910574031627,-0.0801524048935961
0.000146982107439305,0.2665587582723046,-0.08614500346464415
0.000150107107439305,-0.009517244451084508,-0.08882709786321963
0.000153232107439305,-0.2852275048075506,-0.08809561670572191
0.000156357107439305,-0.5499766321116877,-0.08397867040281354
0.000159482107439305,-0.7935904658742213,-0.07663447089210706
0.000162607107439305,-1.006707063083873,-0.06634525164212446
0.000165732107439305,-1.181136472427033,-0.05350642157837737
0.0001688571074393051,-1.310175469523787,-0.03861136974012291
0.0001719821074393051,-1.388865158081611,-0.02223250461626081
0.0001751071074393051,-1.414181537498912,-0.004999256808126962
0.0001782321074393051,-1.385151713512273,0.01242610963552671
0.0001813571074393051,-1.302891285977387,0.02937394765452983
0.0001844821074393051,-1.17056147699224,0.04519296133826933
0.0001876071074393051,-0.9932476469047203,0.05927523486228403
0.0001907321074393051,-0.7777638667663516,0.0710795943524748
0.0001938571074393051,-0.5323910574031513,0.0801524048935972
0.0001969821074393051,-0.2665587582722925,0.08614500346464415
0.0002001071074393051,0.009517244451094383,0.08882709786321874
0.0002032321074393051,0.2852275048075603,0.088095616705722
0.0002063571074393051,0.5499766321116968,0.08397867040281326
0.0002094821074393052,0.7935904658742335,0.07663447089210829
0.0002126071074393052,1.00670706308388,0.06634525164212213
0.0002157321074393052,1.181136472427039,0.05350642157837804
0.0002188571074393052,1.310175469523791,0.03861136974012203
0.0002219821074393052,1.388865158081613,0.02223250461626014
0.0002251071074393052,1.414181537498912,0.00499925680812674
0.0002282321074393052,1.38515171351227,-0.01242610963552782
0.0002313571074393052,1.302891285977382,-0.0293739476545305
0.0002344821074393052,1.170561476992233,-0.04519296133827022
0.0002376071074393052,0.9932476469047133,-0.0592752348622837
0.0002407321074393052,0.7777638667663433,-0.07107959435247502
0.0002438571074393052,0.5323910574031399,-0.08015240489359843
0.0002469821074393053,0.2665587582722803,-0.08614500346464427
0.0002501071074393052,-0.009517244451101746,-0.08882709786321674
0.0002532321074393052,-0.2852275048075675,-0.08809561670572241
0.0002563571074393052,-0.5499766321117058,-0.08397867040281387
0.0002594821074393052,-0.7935904658742335,-0.07663447089210473
0.0002626071074393052,-1.00670706308388,-0.06634525164212302
0.0002657321074393051,-1.181136472427038,-0.05350642157837737
0.0002688571074393051,-1.31017546952379,-0.03861136974012225
0.0002719821074393051,-1.388865158081611,-0.0222325046162597
0.0002751071074393051,-1.414181537498912,-0.004999256808127628
0.0002782321074393051,-1.385151713512272,0.01242610963552715
0.000281357107439305,-1.302891285977388,0.02937394765452916
0.000284482107439305,-1.170561476992243,0.04519296133826933
0.000287607107439305,-0.993247646904726,0.05927523486228303
0.000290732107439305,-0.7777638667663581,0.07107959435247446
0.000293857107439305,-0.5323910574031656,0.08015240489359432
0.000296982107439305,-0.2665587582723101,0.08614500346464354
0.0003001071074393049,0.009517244451081475,0.08882709786322057
0.0003032321074393049,0.2852275048075403,0.08809561670571883
0.0003063571074393049,0.5499766321116779,0.08397867040281443
0.0003094821074393049,0.7935904658742085,0.07663447089210573
0.0003126071074393049,1.006707063083862,0.06634525164212557
0.0003157321074393048,1.181136472427021,0.05350642157837693
0.0003188571074393048,1.310175469523779,0.03861136974012469
0.0003219821074393048,1.388865158081606,0.02223250461626169
0.0003251071074393048,1.414181537498912,0.004999256808128294
0.0003282321074393048,1.385151713512278,-0.01242610963552537
0.0003313571074393047,1.3028912859774,-0.02937394765452761
0.0003344821074393047,1.170561476992257,-0.04519296133826844
0.0003376071074393047,0.9932476469047475,-0.05927523486228037
0.0003407321074393047,0.7777638667663835,-0.07107959435247369
0.0003438571074393047,0.532391057403189,-0.08015240489359521
0.0003469821074393047,0.2665587582723349,-0.08614500346464271
0.0003501071074393046,-0.00951724445105116,-0.08882709786321867
0.0003532321074393046,-0.2852275048075106,-0.08809561670571953
0.0003563571074393046,-0.5499766321116546,-0.08397867040281681
0.0003594821074393046,-0.7935904658741874,-0.07663447089210595
0.0003626071074393046,-1.006707063083841,-0.06634525164212535
0.0003657321074393045,-1.181136472427007,-0.05350642157838026
0.0003688571074393045,-1.310175469523769,-0.03861136974012536
0.0003719821074393045,-1.388865158081602,-0.02223250461626347
0.0003751071074393045,-1.414181537498912,-0.004999256808130514
0.0003782321074393045,-1.385151713512283,0.01242610963552337
