time_s,u_i_V,u_2_V
0.0,0.0,0.0
3.125000000000001e-08,0.002776800051376153,-0.001107259833238858
3.388047553855012e-08,0.003010537459546791,-0.001200439023957231
3.914142661565037e-08,0.00347801202278927,-0.001386748295956187
4.966332876985086e-08,0.004412959958100993,-0.001759072469162303
7.070713307825185e-08,0.006282849633809719,-0.002502544307962399
1.127947416950538e-07,0.01002259276384868,-0.003984789741139555
1.969699589286577e-07,0.01750184260599384,-0.006930549624847921
3.653203933958656e-07,0.03245866439549618,-0.0127476367790503
7.020212623302813e-07,0.06235973966776262,-0.02408793837964395
1.375423000199113e-06,0.1220647953067121,-0.04562279421123443
2.722226475936776e-06,0.2407129545614873,-0.08433095018106508
5.415833427412101e-06,0.4720043938869419,-0.1458470701310668
8.540833427412102e-06,0.7230139853123578,-0.193264693615335
1.16658334274121e-05,0.9462385547531339,-0.2182546274715647
1.47908334274121e-05,1.133099707191442,-0.2239107484578904
1.79158334274121e-05,1.27641647333202,-0.212974184188331
2.10408334274121e-05,1.370681270225053,-0.1880241181980262
2.416583342741211e-05,1.41227155459025,-0.1515947792226122
2.729083342741211e-05,1.399589035123556,-0.106235751077183
3.041583342741211e-05,1.333121093935636,-0.05452907113242436
3.354083342741211e-05,1.215422056730693,0.0009260204223094275
3.666583342741211e-05,1.051015031502132,0.05755168849473566
3.979083342741211e-05,0.8462180880289638,0.1128458504268271
4.291583342741211e-05,0.6089014579974139,0.1644456979975127
4.604083342741211e-05,0.348185086410894,0.2101946865465577
4.916583342741211e-05,0.07408815721805058,0.2482080332543525
5.229083342741211e-05,-0.2028559383075659,0.276932468123915
5.541583342741212e-05,-0.4720043938869434,0.2951966721825781
5.854083342741212e-05,-0.7230139853123587,0.3022495383560331
6.166583342741211e-05,-0.946238554753134,0.2977841087691248
6.479083342741211e-05,-1.133099707191442,0.2819457753509222
6.79158334274121e-05,-1.27641647333202,0.2553240686779957
7.10408334274121e-05,-1.370681270225053,0.2189280879608702
7.416583342741209e-05,-1.41227155459025,0.1741463247253113
7.729083342741209e-05,-1.399589035123556,0.1226922842819188
8.041583342741208e-05,-1.333121093935637,0.06653789266024496
8.354083342741207e-05,-1.215422056730695,0.007837173665599073
8.666583342741207e-05,-1.051015031502134,-0.05115692524138285
8.979083342741206e-05,-0.8462180880289675,-0.1081794015662444
9.291583342741206e-05,-0.6089014579974187,-0.1610404515316774
9.604083342741205e-05,-0.3481850864108996,-0.2077097769633623
9.916583342741205e-05,-0.07408815721805577,-0.2463947208558065
0.000102290833427412,0.2028559383075607,-0.2756092401573948
0.000105415833427412,0.4720043938869361,-0.294231073396204
0.000108540833427412,0.7230139853123515,-0.3015449122146125
0.000111665833427412,0.9462385547531289,-0.2972699221253935
0.000114790833427412,1.133099707191438,-0.2815705580703516
0.000117915833427412,1.276416473332016,-0.2550502614732633
0.000121040833427412,1.370681270225051,-0.2187282827033534
0.000124165833427412,1.41227155459025,-0.1740005208887543
0.000127290833427412,1.399589035123557,-0.122585886887665
0.000130415833427412,1.333121093935639,-0.06646025131850258
0.000133540833427412,1.215422056730696,-0.007780516470263715
0.0001366658334274121,1.051015031502136,0.05119826968121162
0.0001397908334274121,0.8462180880289676,0.1082095718331592
0.0001429158334274121,0.6089014579974166,0.1610624676723887
0.0001460408334274121,0.3481850864108986,0.207725842795784
0.0001491658334274121,0.07408815721805344,0.2464064445713471
0.0001522908334274121,-0.2028559383075643,0.2756177953011792
0.0001554158334274121,-0.4720043938869407,0.2942373163389546
0.0001585408334274121,-0.7230139853123579,0.3015494678755503
0.0001616658334274121,-0.9462385547531351,0.2972732465266076
0.0001647908334274121,-1.133099707191443,0.2815729839847612
0.0001679158334274121,-1.276416473332021,0.2550520317351198
0.0001710408334274121,-1.370681270225054,0.2187295745160689
0.0001741658334274121,-1.41227155459025,0.1740014635628872
0.0001772908334274122,-1.399589035123555,0.1225865747850134
0.0001804158334274122,-1.333121093935635,0.06646075329763862
0.0001835408334274122,-1.215422056730691,0.007780882779371204
0.0001866658334274122,-1.051015031502128,-0.05119800237457435
0.0001897908334274122,-0.8462180880289598,-0.1082093767715501
0.0001929158334274122,-0.6089014579974054,-0.1610623253301436
0.0001960408334274122,-0.3481850864108866,-0.2077257389244076
0.0001991658334274122,-0.07408815721804357,-0.246406368773323
0.0002022908334274122,0.2028559383075766,-0.2756177399891001
0.0002054158334274122,0.4720043938869524,-0.2942372759760947
0.0002085408334274122,0.7230139853123665,-0.3015494384215613
0.0002116658334274122,0.9462385547531426,-0.2972732250331651
0.0002147908334274123,1.133099707191452,-0.2815729683003485
0.0002179158334274123,1.276416473332026,-0.2550520202897453
0.0002210408334274123,1.370681270225057,-0.2187295661640294
0.0002241658334274123,1.412271554590251,-0.1740014574681634
0.0002272908334274123,1.399589035123554,-0.1225865703375031
0.0002304158334274123,1.333121093935632,-0.06646075005216495
0.0002335408334274123,1.215422056730685,-0.007780880411043892
0.0002366658334274123,1.05101503150212,0.05119800410280524
0.0002397908334274123,0.8462180880289497,0.1082093780327008
0.0002429158334274123,0.6089014579973965,0.1610623262504345
0.0002460408334274123,0.348185086410877,0.2077257395959788
0.0002491658334274123,0.07408815721803622,0.246406369263381
0.0002522908334274123,-0.2028559383075789,0.2756177403467145
0.0002554158334274123,-0.472004393886957,0.2942372762370508
0.0002585408334274122,-0.7230139853123663,0.301549438611994
0.0002616658334274122,-0.9462385547531404,0.2972732251721219
0.0002647908334274122,-1.133099707191447,0.2815729684017553
0.0002679158334274122,-1.276416473332023,0.2550520203637379
0.0002710408334274122,-1.370681270225053,0.2187295662180311
0.0002741658334274121,-1.41227155459025,0.1740014575075643
0.0002772908334274121,-1.399589035123555,0.1225865703662632
0.0002804158334274121,-1.333121093935637,0.06646075007314728
0.0002835408334274121,-1.215422056730695,0.007780880426362749
0.0002866658334274121,-1.051015031502135,-0.0511980040916324
0.000289790833427412,-0.8462180880289681,-0.1082093780245385
0.000292915833427412,-0.6089014579974238,-0.1610623262444824
0.000296040833427412,-0.3481850864109063,-0.2077257395916285
0.000299165833427412,-0.07408815721805898,-0.2464063692602137
0.000302290833427412,0.2028559383075514,-0.2756177403443979
0.000305415833427412,0.4720043938869283,-0.294237276235363
0.0003085408334274119,0.7230139853123445,-0.3015494386107618
0.0003116658334274119,0.9462385547531218,-0.2972732251712266
0.0003147908334274119,1.133099707191429,-0.2815729684010994
0.0003179158334274119,1.27641647333201,-0.2550520203632643
