time_s,u_i_V,u_C_V,u_o_V
0.0,-3.0,-3.0,0.0
1e-11,-2.94,-2.9999999400000603,0.05999994000006037
2e-11,-2.88,-2.99999982000024,0.1199998200002401
4e-11,-2.76,-2.9999994600009594,0.2399994600009596
8.000000000000001e-11,-2.52,-2.9999980200059966,0.4799980200059966
1.6e-10,-2.04,-2.9999922600448703,0.9599922600448703
3.2e-10,-1.08,-2.9999692203530044,1.919969220353004
6.400000000000001e-10,0.8399999999999999,-2.999877062812382,3.839877062812382
1e-09,3.0,-2.9996999504259687,5.999699950425969
1.064e-09,3.0,-2.999661552591995,5.999661552591995
1.192e-09,3.0,-2.999584757415536,5.999584757415536
1.448e-09,3.0,-2.9994311700115137,5.999431170011514
1.96e-09,3.0,-2.9991240069986773,5.999124006998677
2.984e-09,3.0,-2.9985097281508253,5.998509728150825
5.032e-09,3.0,-2.9972813591422582,5.997281359142258
9.128e-09,3.0,-2.994825375680511,5.994825375680511
1.732e-08,3.0,-2.989916425433867,5.989916425433867
3.370400000000001e-08,3.0,-2.9801105793017832,5.980110579301783
6.647200000000001e-08,3.0,-2.960547005894634,5.960547005894634
1.32008e-07,3.0,-2.921611548703993,5.921611548703993
2.630800000000001e-07,3.0,-2.844501152428741,5.844501152428741
5.252240000000001e-07,3.0,-2.6932732358159104,5.69327323581591
1.049512e-06,3.0,-2.402406644861026,5.402406644861026
2.098088e-06,3.0,-1.8641437281274271,4.864143728127427
4.195240000000001e-06,3.0,-0.9408710134388918,3.940871013438892
8.389544000000002e-06,3.0,0.425501093716123,2.574498906283877
1.533702344643714e-05,3.0,1.75299283817476,1.24700716182524
2.218374668815003e-05,3.0,2.3890416287061917,0.610958371293808
3.248175186987448e-05,3.0,2.8043595639839785,0.1956404360160215
4.414530625085124e-05,3.0,2.948491384346074,0.05150861565392639
6.261923889458935e-05,3.0,2.997956912368324,0.002043087631675933
8.667498332266097e-05,3.0,3.0001880853775242,-0.0001880853775242386
0.0001333673223823493,3.0,2.999924722408224,7.527759177594628e-05
0.0001933673223823493,3.0,3.000037638795916,-3.763879591600627e-05
0.0002533673223823493,3.0,2.9999811806020276,1.881939797243604e-05
0.0003133673223823493,3.0,3.000009409698993,-9.409698992990378e-06
0.0003733673223823493,3.0,2.9999952951505002,4.704849499881369e-06
0.0004333673223823493,3.0,3.0000023524247514,-2.35242475166153e-06
0.0004933673223823493,3.0,2.999998823787623,1.176212376718944e-06
0.000500001,3.0,2.999999409708489,5.902915107824924e-07
0.0005000011000000001,2.399999999795396,2.9999934097743832,-0.5999934099789872
0.0005000013,1.200000000036711,2.999969410146159,-1.799969410109448
0.0005000017,-1.200000000131181,2.9998494137695553,-4.199849413900736
0.000500002,-3.0,2.9996964205818877,-5.999696420581888
0.00050000208,-3.0,2.9996484233944516,-5.999648423394452
0.0005000022400000001,-3.0,2.9995524297875296,-5.99955242978753
0.0005000025600000001,-3.0,2.999360447181304,-5.999360447181304
0.0005000032000000001,-3.0,2.9989765003985918,-5.998976500398592
0.0005000044800000001,-3.0,2.99820868054623,-5.99820868054623
0.0005000070400000002,-3.0,2.996673335646597,-5.996673335646597
0.0005000121600000002,-3.0,2.9936038246904344,-5.993603824690434
0.0005000224000000004,-3.0,2.9874695151342117,-5.987469515134212
0.0005000428800000007,-3.0,2.975219721343615,-5.975219721343615
0.0005000838400000014,-3.0,2.950795242672503,-5.950795242672503
0.0005001657600000027,-3.0,2.9022451890149954,-5.902245189014995
0.0005003296000000053,-3.0,2.806328552824417,-5.806328552824417
0.0005006572800000104,-3.0,2.6191337778091732,-5.619133777809173
0.0005013126400000207,-3.0,2.262562358453918,-5.262562358453918
0.0005026233600000414,-3.0,1.6152125043853394,-4.615212504385339
0.0005052448000000826,-3.0,0.5455632974064031,-3.545563297406403
0.0005104876800001652,-3.0,-0.927245107630271,-2.072754892369729
0.0005174309068428424,-3.0,-1.995536407830364,-1.004463592169636
0.000525323849665485,-3.0,-2.5640080643721026,-0.4359919356278976
0.0005358873195286792,-3.0,-2.8653866510463226,-0.1346133489536774
0.0005494212506496156,-3.0,-2.974043628196656,-0.0259563718033442
0.0005692246620292639,-3.0,-2.999871801772041,-0.0001281982279590643
0.0005985610508670319,-3.0,-3.0000242601563634,2.426015636336487e-05
0.0006539840612206128,-3.0,-2.999988606026639,-1.139397336058501e-05
0.0007139840612206129,-3.0,-3.0000056969866846,5.696986684622374e-06
0.0007739840612206129,-3.0,-2.9999971515066557,-2.848493344420611e-06
0.000833984061220613,-3.0,-3.0000014242466735,1.424246673376039e-06
0.000893984061220613,-3.0,-2.999999287876663,-7.121233372986424e-07
0.0009539840612206131,-3.0,-3.000000356061669,3.560616688158547e-07
0.001,-3.0,-2.9999998596811808,-1.403188192306004e-07
0.0010000001,-2.399999999795396,-2.9999938597425753,0.5999938599471792
0.0010000003,-1.19999999938619,-2.999969860105347,1.799969860719157
0.0010000007,1.200000000131181,-2.9998498637107454,4.199849863841926
0.001000001,2.99999999944395,-2.9996968705096427,5.999696869953593
0.00100000108,3.0,-2.9996488733186126,5.999648873318613
0.00100000124,3.0,-2.999552879704501,5.999552879704501
0.00100000156,3.0,-2.9993608970838963,5.999360897083896
0.0010000022,3.0,-2.998976950272432,5.998976950272432
0.00100000348,3.0,-2.9982091303625733,5.998209130362573
0.00100000604,3.0,-2.9966737853479666,5.996673785347967
0.001000011159999999,3.0,-2.993604274161945,5.993604274161945
0.001000021399999998,3.0,-2.9874699641463636,5.987469964146364
0.001000041879999996,3.0,-2.9752201694384572,5.975220169438457
0.001000082839999992,3.0,-2.9507956889383413,5.950795688938341
0.001000164759999985,3.0,-2.902245631645182,5.902245631645182
0.00100032859999997,3.0,-2.806328988271794,5.806328988271794
0.001000656279999939,3.0,-2.619134199237787,5.619134199237787
0.001001311639999878,3.0,-2.262562753177516,5.262562753177516
0.001002622359999757,3.0,-1.6152128506197068,4.615212850619707
0.001005243799999514,3.0,-0.5455635634979572,3.545563563497957
0.001010486679999028,3.0,0.9272449519452359,2.072755048054764
0.001017429906841711,3.0,1.995536332385549,1.004463667614451
0.001025322849218833,3.0,2.5640080086172494,0.4359919913827504
0.00103588631884646,3.0,2.8653866294339716,0.1346133705660286
0.001049420249308352,3.0,2.974043620873638,0.02595637912636239
0.001069223660068643,3.0,2.999871801329986,0.0001281986700139015
0.00109856004676476,3.0,3.0000242602355045,-2.426023550450296e-05
0.001153983052812416,3.0,2.9999886059902043,1.139400979555116e-05
0.001213983052812416,3.0,3.0000056970049016,-5.697004901827896e-06
0.001273983052812416,3.0,2.9999971514975465,2.848502453245416e-06
0.001333983052812416,3.0,3.000001424251227,-1.424251227288842e-06
0.001393983052812416,3.0,2.9999992878743855,7.121256143660659e-07
0.001453983052812416,3.0,3.0000003560628077,-3.560628074605887e-07
0.001500001,3.0,2.999999859674169,1.40325831066157e-07
0.0015000011,2.400000000445918,2.9999938597355693,-0.5999938592896514
0.0015000013,1.200000000036711,2.999969860098349,-1.799969860061638
0.0015000017,-1.200000000781703,2.999849863703721,-4.199849864485424
0.001500002,-3.0,2.9996968705026026,-5.999696870502603
0.00150000208,-3.0,2.9996488733115623,-5.999648873311562
0.00150000224,-3.0,2.999552879697431,-5.999552879697431
0.00150000256,-3.0,2.9993608970767873,-5.999360897076787
0.0015000032,-3.0,2.9989769502652432,-5.998976950265243
0.00150000448,-3.0,2.9982091303552227,-5.998209130355223
0.001500007040000001,-3.0,2.9966737853402883,-5.996673785340288
0.001500012160000001,-3.0,2.9936042741536077,-5.993604274153608
0.001500022400000003,-3.0,2.9874699641367073,-5.987469964136707
0.001500042880000005,-3.0,2.9752201694261684,-5.975220169426168
0.00150008384000001,-3.0,2.9507956889208167,-5.950795688920817
0.00150016576000002,-3.0,2.9022456316173146,-5.902245631617315
0.001500329600000041,-3.0,2.8063289882237514,-5.806328988223751
