time_s,u_i_V,u_R_V,u_o_V_u_C
0.0,-3.0,-2.999999892949745e-08,-2.999999970000001
1e-11,-2.94,0.059999957234046164,-2.999999957234046
2e-11,-2.88,0.11999993170213807,-2.999999931702138
4e-11,-2.76,0.23999985510642619,-2.999999855106426
8.000000000000001e-11,-2.52,0.4799995487236748,-2.999999548723675
1.6e-10,-2.04,0.9599983231935179,-2.999998323193518
3.2e-10,-1.08,1.919993421079809,-2.999993421079809
6.400000000000001e-10,0.8399999999999999,3.839973812680511,-2.999973812680511
1e-09,3.0,5.999936127918806,-2.999936127918806
1.064e-09,3.0,5.9999279578041005,-2.9999279578041
1.192e-09,3.0,5.999911617596937,-2.999911617596937
1.448e-09,3.0,5.999878937316113,-2.999878937316114
1.96e-09,3.0,5.999813577288473,-2.999813577288473
2.984e-09,3.0,5.999682859369191,-2.999682859369191
5.032e-09,3.0,5.999421432074386,-2.999421432074386
9.128e-09,3.0,5.9988986116579515,-2.998898611657952
1.732e-08,3.0,5.997853107502902,-2.997853107502902
3.370400000000001e-08,3.0,5.995762645784988,-2.995762645784988
6.647200000000001e-08,3.0,5.991583907765535,-2.991583907765535
1.32008e-07,3.0,5.98323516577916,-2.98323516577916
2.630800000000001e-07,3.0,5.966572557208247,-2.966572557208247
5.252240000000001e-07,3.0,5.933386356729505,-2.933386356729505
1.049512e-06,3.0,5.867566167078273,-2.867566167078273
2.098088e-06,3.0,5.738104173021674,-2.738104173021674
4.195240000000001e-06,3.0,5.487656028680064,-2.487656028680064
8.389544000000002e-06,3.0,5.018852915085507,-2.018852915085507
1.6778152e-05,3.0,4.196472561029515,-1.196472561029515
3.355536800000001e-05,3.0,2.9253605177629365,0.07463948223706368
6.619785134605343e-05,3.0,1.417319468838583,1.582680531161417
9.866493365361688e-05,3.0,0.6896008185893439,2.310399181410656
0.000144504123590033,3.0,0.23749949055233,2.76250050944767
0.0001968445986800259,3.0,0.06761026925344416,2.932389730746556
0.0002568445986800259,3.0,0.014926965617497956,2.985073034382502
0.0003168445986800259,3.0,0.003295587143254952,2.996704412856745
0.0003768445986800259,3.0,0.000727620522444905,2.999272379477555
0.0004368445986800259,3.0,0.00016066686512994366,2.99983933313487
0.0004668445986800259,3.0,8.293934915393208e-05,2.999917060650846
0.000500001,3.0,3.970164117284014e-05,2.999960298358827
0.0005000011000000001,2.399999999795396,-0.5999590220548088,2.999959021850205
0.0005000013,1.200000000036711,-1.7999539156156248,2.999953915652336
0.0005000017,-1.200000000131181,-4.199928384369218,2.999928384238037
0.000500002,-3.0,-5.99989583160737,2.99989583160737
0.00050000208,-3.0,-5.999885619036052,2.999885619036052
0.0005000022400000001,-3.0,-5.999865193928182,2.999865193928182
0.0005000025600000001,-3.0,-5.9998243439210395,2.999824343921039
0.0005000032000000001,-3.0,-5.999742644741132,2.999742644741132
0.0005000044800000001,-3.0,-5.9995792497187725,2.999579249718772
0.0005000070400000002,-3.0,-5.999252473023406,2.999252473023406
0.0005000121600000002,-3.0,-5.998598973026471,2.998598973026471
0.0005000224000000004,-3.0,-5.997292186578701,2.997292186578701
0.0005000428800000007,-3.0,-5.994679467634986,2.994679467634986
0.0005000838400000014,-3.0,-5.989457443695126,2.989457443695126
0.0005001657600000027,-3.0,-5.979027036742548,2.979027036742548
0.0005003296000000053,-3.0,-5.958220667873581,2.958220667873581
0.0005006572800000104,-3.0,-5.916824764611566,2.916824764611566
0.0005013126400000207,-3.0,-5.834892789567709,2.834892789567709
0.0005026233600000414,-3.0,-5.674409043072735,2.674409043072735
0.0005052448000000826,-3.0,-5.366503822281722,2.366503822281722
0.0005104876800001652,-3.0,-4.799492150121601,1.799492150121601
0.0005209734400003303,-3.0,-3.83617766694309,0.8361776669430899
0.0005419449600006605,-3.0,-2.4366923562244267,-0.5633076437755731
