time_s,u_i_V,u_C_V
0.0,0.0,0.0
1e-11,0.12,2.553190946129581e-08
2e-11,0.24,7.659572295156738e-08
4e-11,0.48,2.297871471254242e-07
8.000000000000001e-11,0.96,8.425526482574216e-07
1.6e-10,1.92,3.293612957903679e-06
3.2e-10,3.84,1.309784037670624e-05
6.400000000000001e-10,7.68,5.2314638972519e-05
1e-09,12.0,0.000127684162381358
1.064e-09,12.0,0.0001440243917949502
1.192e-09,12.0,0.0001767048061211445
1.448e-09,12.0,0.0002420653677683191
1.96e-09,12.0,0.0003727854230490846
2.984e-09,12.0,0.0006342212616144529
5.032e-09,12.0,0.001157075851225903
9.128e-09,12.0,0.002202716684094389
1.732e-08,12.0,0.004293724994192678
3.370400000000001e-08,12.0,0.008474648430019547
6.647200000000001e-08,12.0,0.01683212446892758
1.32008e-07,12.0,0.03352960844168254
2.630800000000001e-07,12.0,0.06685482558351098
5.252240000000001e-07,12.0,0.1332272265409937
1.049512e-06,12.0,0.2648676058434582
2.098088e-06,12.0,0.5237915939566574
4.195240000000001e-06,12.0,1.024687882639878
8.389544000000002e-06,12.0,1.962294109828992
1.4389544e-05,12.0,3.166818813572045
2.0389544e-05,12.0,4.226800551507229
2.6389544e-05,12.0,5.159584479694531
3.2389544e-05,12.0,5.980434335447175
3.8389544e-05,12.0,6.702782207583582
4.438954399999999e-05,12.0,7.338448334248814
5.038954399999999e-05,12.0,7.897834524997187
5.638954399999999e-05,12.0,8.390094372224768
6.238954399999998e-05,12.0,8.82328303722977
6.838954399999998e-05,12.0,9.204489061945532
7.438954399999998e-05,12.0,9.539950363265405
8.038954399999997e-05,12.0,9.835156308048493
8.638954399999997e-05,12.0,10.09493753912462
9.238954399999997e-05,12.0,10.32354502217858
9.838954399999996e-05,12.0,10.5247196070082
0.000104389544,12.0,10.70175324143133
0.000110389544,12.0,10.85754283952399
0.000116389544,12.0,10.99463768566981
0.000122389544,12.0,11.11528115012348
0.000128389544,12.0,11.22144739870662
0.000134389544,12.0,11.31487369734004
0.000140389544,12.0,11.39708884003205
0.000146389544,12.0,11.46943816550829
0.000152389544,12.0,11.53310557184577
0.000158389544,12.0,11.58913288935093
0.000164389544,12.0,11.63843692869228
0.000170389544,12.0,11.68182448325705
0.000176389544,12.0,11.7200055312251
0.0001823895440000001,12.0,11.75360485339392
0.0001883895440000001,12.0,11.78317225686459
0.0001943895440000001,12.0,11.80919157188542
0.0002003895440000001,12.0,11.8320885690744
0.0002063895440000001,12.0,11.85223792657487
0.0002123895440000001,12.0,11.86996936115256
0.0002183895440000001,12.0,11.88557302356093
0.0002243895440000001,12.0,11.89930424646269
0.0002303895440000001,12.0,11.91138772260075
0.0002363895440000001,12.0,11.92202118158862
0.0002423895440000002,12.0,11.93137862548594
0.0002483895440000002,12.0,11.93961317610504
0.0002543895440000002,12.0,11.94685958064055
0.0002603895440000001,12.0,11.95323641662362
0.0002663895440000001,12.0,11.95884803228154
0.0002723895440000001,12.0,11.96378625405417
0.0002783895440000001,12.0,11.96813188920852
0.0002843895440000001,12.0,11.97195604813944
0.000290389544,12.0,11.97532130799435
0.000296389544,12.0,11.97828273666286
0.0003,12.0,11.97988930207466
