time_s,u_i_V,u_R_V,u_L_V
0.0,-3.0,-3.0,0.0
1e-11,-2.94,-2.9999999879400034,0.0599999879400035
2e-11,-2.88,-2.999999963880011,0.1199999638800109
4e-11,-2.76,-2.9999998917600403,0.2399998917600406
8.000000000000001e-11,-2.52,-2.999999603520243,0.479999603520243
1.6e-10,-2.04,-2.999998451041801,0.9599984510418009
3.2e-10,-1.08,-2.9999938420941383,1.919993842094138
6.400000000000001e-10,0.8399999999999999,-2.999975408272554,3.839975408272554
1e-09,3.0,-2.9999399824171844,5.999939982417184
1.064e-09,3.0,-2.9999323025038436,5.999932302503844
1.192e-09,3.0,-2.9999169426968244,5.999916942696824
1.448e-09,3.0,-2.9998862232007486,5.999886223200749
1.96e-09,3.0,-2.9998247846804507,5.999824784680451
2.984e-09,3.0,-2.999701909527226,5.999701909527226
5.032e-09,3.0,-2.99945616677007,5.99945616677007
9.128e-09,3.0,-2.9989647114513884,5.998964711451388
1.732e-08,3.0,-2.9979819215841896,5.99798192158419
3.370400000000001e-08,3.0,-2.9960168248315426,5.996016824831543
6.647200000000001e-08,3.0,-2.992088562462162,5.992088562462162
1.32008e-07,3.0,-2.9842397559432587,5.984239755943259
2.630800000000001e-07,3.0,-2.9685729652689776,5.968572965268978
5.252240000000001e-07,3.0,-2.9373622704359033,5.937362270435903
1.049512e-06,3.0,-2.8754292222367317,5.875429222236732
2.098088e-06,3.0,-2.7534911542319094,5.753491154231909
4.195240000000001e-06,3.0,-2.5171291160574913,5.517129116057491
8.389544000000002e-06,3.0,-2.072949044605842,5.072949044605842
1.6778152e-05,3.0,-1.2877192739658971,4.287719273965897
3.355536800000001e-05,3.0,-0.05569825464157985,3.05569825464158
6.710980000000001e-05,3.0,1.479738910350709,1.520261089649291
0.0001017139889486777,3.0,2.261399605598788,0.7386003944012121
0.0001488459802511456,3.0,2.734603387224941,0.2653966127750591
0.0002037453588505879,3.0,2.922726919366648,0.07727308063335192
0.0002637453588505879,3.0,2.9806817298054398,0.01931827019456023
0.0003237453588505879,3.0,2.995170432442304,0.004829567557695924
0.0003837453588505879,3.0,2.998792608108312,0.001207391891687948
0.0004437453588505879,3.0,2.999698152026512,0.0003018479734882007
0.000500001,3.0,2.999915496515868,8.450348413191477e-05
0.0005000011000000001,2.399999999795396,2.999914296087277,-0.5999142962918809
0.0005000013,1.200000000036711,2.999909495239701,-1.79990949520299
0.0005000017,-1.200000000131181,2.9998854936597703,-4.199885493790951
0.000500002,-3.0,2.999854892638642,-5.999854892638642
0.00050000208,-3.0,2.9998452928861834,-5.999845292886183
0.0005000022400000001,-3.0,2.9998260934119836,-5.999826093411984
0.0005000025600000001,-3.0,2.9997876946478996,-5.9997876946479
0.0005000032000000001,-3.0,2.9997108978569846,-5.999710897856985
0.0005000044800000001,-3.0,2.9995573072241104,-5.99955730722411
0.0005000070400000002,-3.0,2.99925013775382,-5.99925013775382
