time_s,u_i_V,u_R_V,u_L_V
0.0,0.0,0.0,0.0
1e-11,0.12,5.466545188737015e-09,0.1199999945334548
1.084000002545455e-11,0.1300800003054546,5.9642223937395045e-09,0.1300799943412322
1.252000007636364e-11,0.1502400009163636,7.036551008532399e-09,0.1502399938798126
1.588000017818182e-11,0.1905600021381818,9.64305571504731e-09,0.1905599924951261
2.260000038181818e-11,0.2712000045818182,1.670345417537078e-08,0.271199987878364
3.604000078909091e-11,0.4324800094690909,3.82138070631477e-08,0.4324799712552838
6.292000160363637e-11,0.7550400192436364,1.1079273432024195e-07,0.7550399084509021
1.166800032327273e-10,1.400160038792727,3.74183457108046e-07,1.40015966460927
2.242000064909091e-10,2.690400077890909,1.3738962292286772e-06,2.69039870399468
4.392400130072728e-10,5.270880156087273,5.265045925462175e-06,5.270874891041347
8.693200260400001e-10,10.43184031248,2.0614232690618906e-05,10.43181969824731
1e-09,12.0,2.727663052937146e-05,11.99997272336947
1.086016002606545e-09,12.0,3.19683999894238e-05,11.99996803160001
1.258048007819637e-09,12.0,4.1351935239575255e-05,11.99995864806476
1.602112018245818e-09,12.0,6.011898373081692e-05,11.99993988101627
2.290240039098182e-09,12.0,9.765299266994987e-05,11.99990234700733
3.666496080802909e-09,12.0,0.00017272065833928707,11.99982727934166
6.419008164212365e-09,12.0,0.0003228545808795502,11.99967714541912
1.192403233103127e-08,12.0,0.0006231167908694601,11.99937688320913
2.293408066466909e-08,12.0,0.001223618671170712,11.99877638132883
4.495417733194473e-08,12.0,0.002424532278730851,11.99757546772127
8.899437066649602e-08,12.0,0.0048259989267496195,11.99517400107325
1.770747573355986e-07,12.0,0.009627490315219589,11.99037250968478
3.532355306738037e-07,12.0,0.019224708347179487,11.98077529165282
7.055570773502139e-07,12.0,0.0383961084928206,11.96160389150718
1.410200170703034e-06,12.0,0.07664694927166948,11.92335305072833
2.819486357408675e-06,12.0,0.15278226077403012,11.84721773922597
5.638058730819957e-06,12.0,0.30359906341750964,11.69640093658249
1.127520347764252e-05,12.0,0.5995093387036299,11.40049066129637
2.254949297128765e-05,12.0,1.1691515056293795,10.83084849437062
4.50980719585779e-05,12.0,2.225128126663037,9.774871873336963
7.20980719585779e-05,12.0,3.355413096920989,8.644586903079011
9.909807195857791e-05,12.0,4.355001304035089,7.644998695964911
0.0001260980719585779,12.0,5.239005435819261,6.760994564180739
0.0001530980719585779,12.0,6.020790674430312,5.979209325569688
0.0001800980719585779,12.0,6.712176763403208,5.287823236596792
0.0002070980719585779,12.0,7.323616709333234,4.676383290666766
0.0002340980719585779,12.0,7.864354819980371,4.135645180019629
0.0002610980719585779,12.0,8.342566468160282,3.657433531839718
0.0002880980719585779,12.0,8.765481694500188,3.234518305499812
0.0003150980719585779,12.0,9.139494517798976,2.860505482201024
0.0003420980719585779,12.0,9.470259605645444,2.529740394354556
0.0003690980719585779,12.0,9.762777766849458,2.237222233150542
0.0003960980719585779,12.0,10.021471558238638,1.978528441761362
0.0004230980719585779,12.0,10.250252148913257,1.749747851086743
0.0004500980719585779,12.0,10.452578452874244,1.547421547125756
0.0004770980719585779,12.0,10.631509424045376,1.368490575954624
0.0005040980719585779,12.0,10.789750304333573,1.210249695666427
0.0005310980719585779,12.0,10.929693523947767,1.070306476052233
0.0005580980719585779,12.0,11.053454872344716,0.9465451276552841
0.0005850980719585779,12.0,11.162905486667135,0.8370945133328647
0.0006120980719585779,12.0,11.259700141304645,0.7402998586953551
0.0006390980719585779,12.0,11.345302266284907,0.6546977337150928
0.0006660980719585779,12.0,11.421006072745902,0.578993927254098
0.0006930980719585779,12.0,11.48795612000238,0.5120438799976199
0.000720098071958578,12.0,11.547164620039354,0.4528353799606464
0.000747098071958578,12.0,11.599526741057707,0.4004732589422932
0.000774098071958578,12.0,11.645834141444956,0.354165858555044
0.000801098071958578,12.0,11.686786938790075,0.3132130612099253
0.000828098071958578,12.0,11.723004294900875,0.2769957050991252
0.000855098071958578,12.0,11.755033776857928,0.2449662231420717
0.000882098071958578,12.0,11.783359635634,0.2166403643660004
0.000909098071958578,12.0,11.808410127442695,0.1915898725573051
0.000936098071958578,12.0,11.830563988507189,0.1694360114928113
0.000963098071958578,12.0,11.850156161140484,0.1498438388595158
0.000990098071958578,12.0,11.867482857709332,0.1325171422906681
0.001017098071958578,12.0,11.882806039043425,0.1171939609565751
0.001044098071958578,12.0,11.896357374998583,0.1036426250014166
0.001071098071958578,12.0,11.908341747053292,0.09165825294670782
0.001098098071958578,12.0,11.918940345894097,0.08105965410590343
0.001125098071958577,12.0,11.928313410821948,0.07168658917805182
0.001152098071958577,12.0,11.936602652396362,0.06339734760363847
0.001179098071958577,12.0,11.943933394945129,0.05606660505487149
0.001206098071958577,12.0,11.95041647133202,0.04958352866798066
0.001233098071958577,12.0,11.956149898629274,0.04385010137072598
0.001260098071958577,12.0,11.961220360029264,0.03877963997073586
0.001287098071958577,12.0,11.96570451540019,0.03429548459980936
0.001314098071958577,12.0,11.969670160300009,0.03032983969999137
0.001341098071958577,12.0,11.973177250971625,0.02682274902837456
0.00135,12.0,11.974241065434365,0.02575893456563527
